species,threshold,f1_score,num_samples
Loxia curvirostra_Common Crossbill,0.05,1.0,20
Coccothraustes coccothraustes_Hawfinch,0.24899497487437183,1.0,22
None,0.05,0.9987179487179487,781
Periparus ater_Coal Tit,0.05,0.9743589743589743,20
Regulus ignicapilla_Common Firecrest,0.0635678391959799,0.85995085995086,250
Turdus merula_Eurasian Blackbird,0.08165829145728642,0.8173913043478261,81
Anthus trivialis_Tree Pipit,0.321356783919598,0.8,63
Fringilla coelebs_Common Chaffinch,0.1,0.775377969762419,1701
Erithacus rubecula_European Robin,0.05452261306532664,0.6574074074074074,311
Troglodytes troglodytes_Eurasian Wren,0.05,0.6535714285714286,377
Phylloscopus collybita_Common Chiffchaff,0.09974874371859296,0.5981554677206851,634
Sylvia atricapilla_Eurasian Blackcap,0.05,0.5925925925925926,779
Muscicapa striata_Spotted Flycatcher,0.05,0.531986531986532,218
Regulus regulus_Goldcrest,0.2942211055276382,0.5,180
Vegetation,0.9273869346733669,0.47761194029850745,80
Wind,0.135929648241206,0.4,10
Certhia familiaris_Eurasian Treecreeper,0.35,0.20408163265306123,44
Aeroplane,0.20829145728643217,0.15384615384615385,15
Parus major_Great Tit,0.15,0.0,17
Lophophanes cristatus_Crested Tit,0.15,0.0,19
