species,threshold
Loxia curvirostra_Common Crossbill,0.05
Coccothraustes coccothraustes_Hawfinch,0.24899497487437183
None,0.05
Periparus ater_Coal Tit,0.05
Regulus ignicapilla_Common Firecrest,0.11
Turdus merula_Eurasian Blackbird,0.08165829145728642
Anthus trivialis_Tree Pipit,0.321356783919598
Fringilla coelebs_Common Chaffinch,0.4
Erithacus rubecula_European Robin,0.05452261306532664
Troglodytes troglodytes_Eurasian Wren,0.15
Phylloscopus collybita_Common Chiffchaff,0.09974874371859296
Sylvia atricapilla_Eurasian Blackcap,0.05
Muscicapa striata_Spotted Flycatcher,0.05
Regulus regulus_Goldcrest,0.2942211055276382
Vegetation,0.9273869346733669
Wind,0.135929648241206
Certhia familiaris_Eurasian Treecreeper,0.4
Aeroplane,0.20829145728643217
Parus major_Great Tit,0.15
Lophophanes cristatus_Crested Tit,0.15
