Aeroplane_,0.01
Fringilla coelebs_Common Chaffinch,0.308
Phylloscopus collybita_Common Chiffchaff,0.109
Sylvia atricapilla_Eurasian Blackcap,0.142
Turdus merula_Eurasian Blackbird,0.246
Anthus trivialis_Tree Pipit,0.52
Erithacus rubecula_European Robin,0.18
Parus major_Great Tit,0.6
None_,0.341
Periparus ater_Coal Tit,0.251
Certhia familiaris_Eurasian Treecreeper,0.841
Regulus ignicapilla_Common Firecrest,0.133
Regulus regulus_Goldcrest,0.01
Troglodytes troglodytes_Eurasian Wren,0.185
Wind_,0.128
Lophophanes cristatus_Crested Tit,0.369
Vegetation_,0.459
Coccothraustes coccothraustes_Hawfinch,0.01
Loxia curvirostra_Common Crossbill,0.123
Muscicapa striata_Spotted Flycatcher,0.01

